问题id,问题文本,知识点名称,认知目标层次,知识点类型
619df32928dac08ee2e826c8,“大国点名、没你不行”，第七次全国人口普查口号深入人心，统计数据真实可信，全国大约1411780000人，数“1411780000”用科学记数法表示为(   ) A．14.1178×10<sup>8</sup> B．1.41178×10<sup>9</sup> C．1.41178×10<sup>10</sup> D．1.41178×10<sup>11</sup>,用科学记数法表示数及递用还原数,应用,题型
619df39b28dac08ee2e826ca,下列运算正确的是(   ) A．a•a<sup>2</sup>＝a<sup>3</sup> B．（a<sup>2</sup>）<sup>3</sup>＝a<sup>5</sup> C．（2a）<sup>3</sup>＝6a<sup>3</sup> D．a<sup>12</sup>÷a<sup>3</sup>＝a<sup>4</sup>,同底数幂的乘法运算法则,理解,知识点
619df39b28dac08ee2e826ca,下列运算正确的是(   ) A．a•a<sup>2</sup>＝a<sup>3</sup> B．（a<sup>2</sup>）<sup>3</sup>＝a<sup>5</sup> C．（2a）<sup>3</sup>＝6a<sup>3</sup> D．a<sup>12</sup>÷a<sup>3</sup>＝a<sup>4</sup>,同底数幂的除法运算法则,理解,知识点
619df39b28dac08ee2e826ca,下列运算正确的是(   ) A．a•a<sup>2</sup>＝a<sup>3</sup> B．（a<sup>2</sup>）<sup>3</sup>＝a<sup>5</sup> C．（2a）<sup>3</sup>＝6a<sup>3</sup> D．a<sup>12</sup>÷a<sup>3</sup>＝a<sup>4</sup>,幂的乘方运算法则,理解,知识点
619df39b28dac08ee2e826ca,下列运算正确的是(   ) A．a•a<sup>2</sup>＝a<sup>3</sup> B．（a<sup>2</sup>）<sup>3</sup>＝a<sup>5</sup> C．（2a）<sup>3</sup>＝6a<sup>3</sup> D．a<sup>12</sup>÷a<sup>3</sup>＝a<sup>4</sup>,积的乘方运算法则,理解,知识点
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,众数,记忆,知识点
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,中位数,记忆,知识点
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,平均数、中位数、众数、方差的综合计算,应用,题型
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,确定性事件的定义,记忆,知识点
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,事件的识别与判断,理解,题型
619df3c64df6eb0e55e825bf,下列说法正确的是(   ) A．“打开电视机，正在播放《新闻联播》”是必然事件 B．“明天下雨概率为0.5”，是指明天有一半的时间可能下雨 C．一组数据“6，6，7，7，8”的中位数是7，众数也是7 D．甲、乙两人在相同的条件下各射击10次，他们成绩的平均数相同，方差分别是s<sub>甲</sub><sup>2</sup>＝0.2，s<sub>乙</sub><sup>2</sup>＝0.4，则甲的成绩更稳定,方差,记忆,知识点
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,正比例函数的图象与性质,理解,知识点
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,一次函数的图象与性质,理解,知识点
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,反比例函数的图象与性质,理解,知识点
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,反比例函数图象与性质的判断,分析,题型
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,"k,b的符号与直线y=kx+b(k≠0)的关系",理解,知识点
619df40c4df6eb0e55e825c0,下列说法正确的是(   ) A．函数y＝2x的图象是过原点的射线 B．直线y＝﹣x+2经过第一、二、三象限 C．函数y＝ $-\frac2x$ （x＜0），y随x增大而增大 D．函数y＝2x﹣3，y随x增大而减小,一次函数图象与性质的综合判断,分析,题型
619df43328dac08ee2e826cb,用半径为30cm，圆心角为120°的扇形纸片恰好能围成一个圆锥的侧面，则这个圆锥底面半径为(   ) A．5cm B．10cm C．15cm D．20cm,圆锥的侧面展开图,理解,知识点
619df43328dac08ee2e826cb,用半径为30cm，圆心角为120°的扇形纸片恰好能围成一个圆锥的侧面，则这个圆锥底面半径为(   ) A．5cm B．10cm C．15cm D．20cm,圆锥中角度与线段的计算,应用,题型
619df47d28dac08ee2e826cc,若抛物线y＝x<sup>2</sup>+bx+c与x轴两个交点间的距离为4．对称轴为直线x＝2，P为这条抛物线的顶点，则点P关于x轴的对称点的坐标是(   ) A．（2，4） B．（﹣2，4） C．（﹣2，﹣4） D．（2，﹣4）,二次函数图象的顶点,理解,知识点
619df47d28dac08ee2e826cc,若抛物线y＝x<sup>2</sup>+bx+c与x轴两个交点间的距离为4．对称轴为直线x＝2，P为这条抛物线的顶点，则点P关于x轴的对称点的坐标是(   ) A．（2，4） B．（﹣2，4） C．（﹣2，﹣4） D．（2，﹣4）,二次函数图象的对称性,理解,知识点
619df47d28dac08ee2e826cc,若抛物线y＝x<sup>2</sup>+bx+c与x轴两个交点间的距离为4．对称轴为直线x＝2，P为这条抛物线的顶点，则点P关于x轴的对称点的坐标是(   ) A．（2，4） B．（﹣2，4） C．（﹣2，﹣4） D．（2，﹣4）,求抛物线的顶点、对称轴,应用,题型
619df53028dac08ee2e826cd,下列各数中最大的是(   ) A．﹣3 B．﹣2 C．0 D．1,利用法则比较有理数的大小,应用,题型
619df56528dac08ee2e826ce,下列计算正确的是(   ) A．a<sup>3</sup>÷a<sup>3</sup>＝a<sup>6</sup> B．a<sup>3</sup>•a<sup>3</sup>＝a<sup>6</sup> C．（a<sup>3</sup>）<sup>3</sup>＝a<sup>6</sup> D．（ab<sup>3</sup>）<sup>2</sup>＝ab<sup>6</sup>,同底数幂的乘法运算法则,理解,知识点
619df56528dac08ee2e826ce,下列计算正确的是(   ) A．a<sup>3</sup>÷a<sup>3</sup>＝a<sup>6</sup> B．a<sup>3</sup>•a<sup>3</sup>＝a<sup>6</sup> C．（a<sup>3</sup>）<sup>3</sup>＝a<sup>6</sup> D．（ab<sup>3</sup>）<sup>2</sup>＝ab<sup>6</sup>,同底数幂的除法运算法则,理解,知识点
619df56528dac08ee2e826ce,下列计算正确的是(   ) A．a<sup>3</sup>÷a<sup>3</sup>＝a<sup>6</sup> B．a<sup>3</sup>•a<sup>3</sup>＝a<sup>6</sup> C．（a<sup>3</sup>）<sup>3</sup>＝a<sup>6</sup> D．（ab<sup>3</sup>）<sup>2</sup>＝ab<sup>6</sup>,幂的乘方运算法则,理解,知识点
619df56528dac08ee2e826ce,下列计算正确的是(   ) A．a<sup>3</sup>÷a<sup>3</sup>＝a<sup>6</sup> B．a<sup>3</sup>•a<sup>3</sup>＝a<sup>6</sup> C．（a<sup>3</sup>）<sup>3</sup>＝a<sup>6</sup> D．（ab<sup>3</sup>）<sup>2</sup>＝ab<sup>6</sup>,积的乘方运算法则,理解,知识点
619df5e828dac08ee2e826d0,若二次根式 $\sqrt{x+3}$ 在实数范围内有意义，则x的取值范围是(   ) A．x≥﹣3 B．x≥3 C．x≤﹣3 D．x＞﹣3,二次根式有意义的条件的应用,应用,题型
619df5e828dac08ee2e826d0,若二次根式 $\sqrt{x+3}$ 在实数范围内有意义，则x的取值范围是(   ) A．x≥﹣3 B．x≥3 C．x≤﹣3 D．x＞﹣3,二次根式有意义的条件,理解,知识点
619df66a28dac08ee2e826d2,随着生产技术的进步，某制药厂生产成本逐年下降．两年前生产一吨药的成本是5000元，现在生产一吨药的成本是4050元．设生产成本的年平均下降率为x，下面所列方程正确的是(   ) A．5000（1+x）<sup>2</sup>＝4050 B．4050（1+x）<sup>2</sup>＝5000 C．5000（1﹣x）<sup>2</sup>＝4050 D．4050（1﹣x）<sup>2</sup>＝5000,列一元二次方程解决增长率问题,应用,题型
619df6a328dac08ee2e826d3,正多边形的一个外角等于60°，这个多边形的边数是(   ) A．3 B．6 C．9 D．12,多边形的外角和,记忆,知识点
619df6a328dac08ee2e826d3,正多边形的一个外角等于60°，这个多边形的边数是(   ) A．3 B．6 C．9 D．12,已知多边形角的关系，求多边形的边数,应用,题型
619df6c04df6eb0e55e825c2,不透明袋子中装有除颜色外完全相同的2个红球和1个白球，从袋子中随机摸出2个球，下列事件是必然事件的是(   ) A．摸出的2个球中至少有1个红球 B．摸出的2个球都是白球 C．摸出的2个球中1个红球、1个白球 D．摸出的2个球都是红球,确定性事件的定义,记忆,知识点
619df6c04df6eb0e55e825c2,不透明袋子中装有除颜色外完全相同的2个红球和1个白球，从袋子中随机摸出2个球，下列事件是必然事件的是(   ) A．摸出的2个球中至少有1个红球 B．摸出的2个球都是白球 C．摸出的2个球中1个红球、1个白球 D．摸出的2个球都是红球,事件的识别与判断,理解,题型
619df8d228dac08ee2e826d5,﹣2021的倒数是(   ) A．2021 B．﹣2021 C． $\frac1{2021}$  D．﹣ $\frac1{2021}$,求倒数,理解,题型
619df8d228dac08ee2e826d5,﹣2021的倒数是(   ) A．2021 B．﹣2021 C． $\frac1{2021}$  D．﹣ $\frac1{2021}$,倒数的概念,记忆,知识点
619df9b928dac08ee2e826d9,下列运算正确的是(   ) A．x<sup>3</sup>+x<sup>3</sup>＝x<sup>6</sup> B．2x<sup>3</sup>﹣x<sup>3</sup>＝x<sup>3</sup> C．（x<sup>3</sup>）<sup>2</sup>＝x<sup>5</sup> D．x<sup>3</sup>•x<sup>3</sup>＝x<sup>9</sup>,同底数幂的乘法运算法则,理解,知识点
619df9b928dac08ee2e826d9,下列运算正确的是(   ) A．x<sup>3</sup>+x<sup>3</sup>＝x<sup>6</sup> B．2x<sup>3</sup>﹣x<sup>3</sup>＝x<sup>3</sup> C．（x<sup>3</sup>）<sup>2</sup>＝x<sup>5</sup> D．x<sup>3</sup>•x<sup>3</sup>＝x<sup>9</sup>,合并同类项定义与法则,理解,知识点
619df9b928dac08ee2e826d9,下列运算正确的是(   ) A．x<sup>3</sup>+x<sup>3</sup>＝x<sup>6</sup> B．2x<sup>3</sup>﹣x<sup>3</sup>＝x<sup>3</sup> C．（x<sup>3</sup>）<sup>2</sup>＝x<sup>5</sup> D．x<sup>3</sup>•x<sup>3</sup>＝x<sup>9</sup>,合并同类项,应用,题型
619df9b928dac08ee2e826d9,下列运算正确的是(   ) A．x<sup>3</sup>+x<sup>3</sup>＝x<sup>6</sup> B．2x<sup>3</sup>﹣x<sup>3</sup>＝x<sup>3</sup> C．（x<sup>3</sup>）<sup>2</sup>＝x<sup>5</sup> D．x<sup>3</sup>•x<sup>3</sup>＝x<sup>9</sup>,幂的综合运算,应用,题型
619df9b928dac08ee2e826d9,下列运算正确的是(   ) A．x<sup>3</sup>+x<sup>3</sup>＝x<sup>6</sup> B．2x<sup>3</sup>﹣x<sup>3</sup>＝x<sup>3</sup> C．（x<sup>3</sup>）<sup>2</sup>＝x<sup>5</sup> D．x<sup>3</sup>•x<sup>3</sup>＝x<sup>9</sup>,幂的乘方运算法则,理解,知识点
619dfa0e28dac08ee2e826da,在六张卡片上分别写有6，﹣ $\frac{22}7$ ，3.1415，π，0， $\sqrt3$ 六个数，从中随机抽取一张，卡片上的数为无理数的概率是(   ) A． $\frac23$  B． $\frac12$  C． $\frac13$  D． $\frac16$,概率的定义,记忆,知识点
619dfa0e28dac08ee2e826da,在六张卡片上分别写有6，﹣ $\frac{22}7$ ，3.1415，π，0， $\sqrt3$ 六个数，从中随机抽取一张，卡片上的数为无理数的概率是(   ) A． $\frac23$  B． $\frac12$  C． $\frac13$  D． $\frac16$,有理数的定义,记忆,知识点
619dfa0e28dac08ee2e826da,在六张卡片上分别写有6，﹣ $\frac{22}7$ ，3.1415，π，0， $\sqrt3$ 六个数，从中随机抽取一张，卡片上的数为无理数的概率是(   ) A． $\frac23$  B． $\frac12$  C． $\frac13$  D． $\frac16$,利用概率的定义求概率,应用,题型
619dfd2e4df6eb0e55e825c5,我国古代数学经典著作《九章算术》中有这样一题，原文是：“今有共买物，人出八，盈三；人出七，不足四．问人数、物价各几何？”意思是：今有人合伙购物，每人出八钱，会多三钱；每人出七钱，又差四钱．问人数、物价各多少？设人数为x人，物价为y钱，下列方程组正确的是(   ) A． $\left\{\begin{array}{l}y=8x-3\y=7x+4\end{array}\right.$  B． $\left\{\begin{array}{l}y=8x+3\y=7x+4\end{array}\right.$  C． $\left\{\begin{array}{l}y=8x-3\y=7x-4\end{array}\right.$  D． $\left\{\begin{array}{l}y=8x+3\y=7x-4\end{array}\right.$,列二元一次方程组解决和差倍分问题,理解,题型
619dfe3428dac08ee2e826dd,从前，古希腊一位庄园主把一块边长为a米（a＞6）的正方形土地租给租户张老汉，第二年，他对张老汉说：“我把这块地的一边增加6米，相邻的另一边减少6米，变成矩形土地继续租给你，租金不变，你也没有吃亏，你看如何？”如果这样，你觉得张老汉的租地面积会(   ) A．没有变化 B．变大了 C．变小了 D．无法确定,平方差公式的定义,记忆,知识点
619dfe3428dac08ee2e826dd,从前，古希腊一位庄园主把一块边长为a米（a＞6）的正方形土地租给租户张老汉，第二年，他对张老汉说：“我把这块地的一边增加6米，相邻的另一边减少6米，变成矩形土地继续租给你，租金不变，你也没有吃亏，你看如何？”如果这样，你觉得张老汉的租地面积会(   ) A．没有变化 B．变大了 C．变小了 D．无法确定,整式乘除的实际应用,应用,题型
619dfe5828dac08ee2e826de,用正负数表示气温的变化量，上升为正，下降为负．登山队攀登一座山峰，每登高1km气温的变化量为﹣6℃，攀登2km后，气温下降           ℃．,相反意义的量,理解,知识点
619dfe5828dac08ee2e826de,用正负数表示气温的变化量，上升为正，下降为负．登山队攀登一座山峰，每登高1km气温的变化量为﹣6℃，攀登2km后，气温下降           ℃．,有理数的乘除法在实际问题中的应用,应用,题型
619e005128dac08ee2e826e3,先化简，再求值： $\frac2{x^2-1}$ ÷ $\frac1{x+1}$ ﹣ $\frac1{x-1}$ ，从1，2，3这三个数中选择一个你认为适合的x代入求值．,分式的化简与求值,应用,题型
619e005128dac08ee2e826e3,先化简，再求值： $\frac2{x^2-1}$ ÷ $\frac1{x+1}$ ﹣ $\frac1{x-1}$ ，从1，2，3这三个数中选择一个你认为适合的x代入求值．,分式的除法法则,理解,知识点
619e005128dac08ee2e826e3,先化简，再求值： $\frac2{x^2-1}$ ÷ $\frac1{x+1}$ ﹣ $\frac1{x-1}$ ，从1，2，3这三个数中选择一个你认为适合的x代入求值．,分式的加减法则,理解,知识点
619e008b28dac08ee2e826e4,解不等式组 $\left\{\begin{array}{l}x-3(x-2)\geq4\\frac{2x-1}3\leq\frac{x+1}2\end{array}\right.$ ．,解一元一次不等式组,应用,题型
619e008b28dac08ee2e826e4,解不等式组 $\left\{\begin{array}{l}x-3(x-2)\geq4\\frac{2x-1}3\leq\frac{x+1}2\end{array}\right.$ ．,解一元一次不等式组的一般步骤,理解,知识点
619e07a028dac08ee2e82701,分解因式：5x<sup>4</sup>﹣5x<sup>2</sup>=,公式法的定义与步骤,理解,知识点
619e07a028dac08ee2e82701,分解因式：5x<sup>4</sup>﹣5x<sup>2</sup>=,用公式法分解因式,应用,题型
619e07ca28dac08ee2e82702,我国明代数学读本《算法统宗》一书中有这样一道题：一支竿子一条索，索比竿子长一托，对折索子来量竿，却比竿子短一托．如果1托为5尺，那么索长为            尺． （其大意为：现有一根竿和一条绳索，如果用绳索去量竿，绳索比竿长5尺；如果将绳索对折后再去量竿，就比竿短5尺，则绳索长几尺．）,列二元一次方程组解应用题的一般步骤,理解,知识点
619e07ca28dac08ee2e82702,我国明代数学读本《算法统宗》一书中有这样一道题：一支竿子一条索，索比竿子长一托，对折索子来量竿，却比竿子短一托．如果1托为5尺，那么索长为            尺． （其大意为：现有一根竿和一条绳索，如果用绳索去量竿，绳索比竿长5尺；如果将绳索对折后再去量竿，就比竿短5尺，则绳索长几尺．）,列二元一次方程组解决和差倍分问题,应用,题型
619e080128dac08ee2e82703,不透明的布袋中有红、黄、蓝3种只是颜色不同的钢笔各1支，先从中摸出1支，记录下它的颜色，将它放回布袋并搅匀，再从中随机摸出1支，记录下颜色，那么这两次摸出的钢笔为红色、黄色各一支的概率为             .,选择合适的列举法求概率,分析,题型
619e080128dac08ee2e82703,不透明的布袋中有红、黄、蓝3种只是颜色不同的钢笔各1支，先从中摸出1支，记录下它的颜色，将它放回布袋并搅匀，再从中随机摸出1支，记录下颜色，那么这两次摸出的钢笔为红色、黄色各一支的概率为             .,画树状图法求概率的一般步骤,理解,知识点
619e084d28dac08ee2e82704,关于x的方程x<sup>2</sup>﹣2mx+m<sup>2</sup>﹣m＝0有两个实数根α，β，且 $\frac1\alpha+\frac1\beta$ ＝1，则m＝              ．,一元二次方程的根与系数的关系（韦达定理）,理解,知识点
619e084d28dac08ee2e82704,关于x的方程x<sup>2</sup>﹣2mx+m<sup>2</sup>﹣m＝0有两个实数根α，β，且 $\frac1\alpha+\frac1\beta$ ＝1，则m＝              ．,用韦达定理求参数的值,应用,题型
619e11e74df6eb0e55e825cb,据统计，2021年“五•一”劳动节小长假期间，襄阳市约接待游客2270000人次．数字2270000用科学记数法表示为            ．,科学记数法的定义,记忆,知识点
619e11e74df6eb0e55e825cb,据统计，2021年“五•一”劳动节小长假期间，襄阳市约接待游客2270000人次．数字2270000用科学记数法表示为            ．,用科学记数法表示数及递用还原数,应用,题型
619e124928dac08ee2e82726,不等式组 $\left\{\begin{array}{l}x+2\geq4x-1\2x>1-x\end{array}\right.$ 的解集是,解一元一次不等式组,应用,题型
619e124928dac08ee2e82726,不等式组 $\left\{\begin{array}{l}x+2\geq4x-1\2x>1-x\end{array}\right.$ 的解集是,一元一次不等式组的解集与表示,理解,知识点
619e12cf28dac08ee2e82729,点O是△ABC的外心，若∠BOC＝110°，则∠BAC为              ．,利用三角形内心和外心进行计算,应用,题型
619e12cf28dac08ee2e82729,点O是△ABC的外心，若∠BOC＝110°，则∠BAC为              ．,圆周角定理及其推论,理解,知识点
619e12cf28dac08ee2e82729,点O是△ABC的外心，若∠BOC＝110°，则∠BAC为              ．,三角形的外接圆与外心,理解,知识点
619e12cf28dac08ee2e82729,点O是△ABC的外心，若∠BOC＝110°，则∠BAC为              ．,分类讨论的思想,理解,知识点
619e13d728dac08ee2e8272b,先化简，再求值： $\frac{x^2+2x+1}x\div(x-\frac1x)$ ，其中x＝ $\sqrt2$ +1．,分式的除法法则,理解,知识点
619e13d728dac08ee2e8272b,先化简，再求值： $\frac{x^2+2x+1}x\div(x-\frac1x)$ ，其中x＝ $\sqrt2$ +1．,含有条件的二次根式的化简求值,应用,题型
619e13d728dac08ee2e8272b,先化简，再求值： $\frac{x^2+2x+1}x\div(x-\frac1x)$ ，其中x＝ $\sqrt2$ +1．,分式的加减法则,理解,知识点
619f611928dac08ee2e827ab,下列各式的值最小的是(   ) A．2<sup>0</sup> B．|﹣2| C．2<sup>﹣1</sup> D．﹣（﹣2）,利用法则比较有理数的大小,应用,题型
619f611928dac08ee2e827ab,下列各式的值最小的是(   ) A．2<sup>0</sup> B．|﹣2| C．2<sup>﹣1</sup> D．﹣（﹣2）,零指数幂,记忆,知识点
619f618c4df6eb0e55e825f7,据中央电视台新闻联播报道：今年4月我国国际收支口径的国际货物和服务贸易顺差337亿美元．用科学记数法表示337亿正确的是(   ) A．337×10<sup>8</sup> B．3.37×10<sup>10</sup> C．3.37×10<sup>11</sup> D．0.337×10<sup>11</sup>,科学记数法的定义,记忆,知识点
619f618c4df6eb0e55e825f7,据中央电视台新闻联播报道：今年4月我国国际收支口径的国际货物和服务贸易顺差337亿美元．用科学记数法表示337亿正确的是(   ) A．337×10<sup>8</sup> B．3.37×10<sup>10</sup> C．3.37×10<sup>11</sup> D．0.337×10<sup>11</sup>,用科学记数法表示数及递用还原数,应用,题型
619f61a228dac08ee2e827ac,下列调查中最适合采用全面调查（普查）的是(   ) A．了解巴河被污染情况 B．了解巴中市中小学生书面作业总量 C．了解某班学生一分钟跳绳成绩 D．调查一批灯泡的质量,调查方式的合理性的判断,分析,题型
619f61a228dac08ee2e827ac,下列调查中最适合采用全面调查（普查）的是(   ) A．了解巴河被污染情况 B．了解巴中市中小学生书面作业总量 C．了解某班学生一分钟跳绳成绩 D．调查一批灯泡的质量,全面调查的定义,记忆,知识点
619f62204df6eb0e55e825f8,关于x的分式方程 $\frac{m+x}{2-x}$ ﹣3＝0有解，则实数m应满足的条件是(   ) A．m＝﹣2 B．m≠﹣2 C．m＝2 D．m≠2,利用分式方程的解求待定字母,应用,题型
619f62204df6eb0e55e825f8,关于x的分式方程 $\frac{m+x}{2-x}$ ﹣3＝0有解，则实数m应满足的条件是(   ) A．m＝﹣2 B．m≠﹣2 C．m＝2 D．m≠2,分式方程的验根,理解,知识点
619f714f28dac08ee2e827d0,﹣7的倒数是(   ) A．﹣ $\frac17$  B． $\frac17$  C．﹣7 D．7,求倒数,理解,题型
619f7b8428dac08ee2e827d1,2021年5月15日7时18分，天问一号探测器成功着陆距离地球逾3亿千米的神秘火星，在火星上首次留下中国人的印迹，这是我国航天事业发展的又一具有里程碑意义的进展．将数据3亿用科学记数法表示为(   ) A．3×10<sup>5</sup> B．3×10<sup>6</sup> C．3×10<sup>7</sup> D．3×10<sup>8</sup>,科学记数法的定义,记忆,知识点
619f7b8428dac08ee2e827d1,2021年5月15日7时18分，天问一号探测器成功着陆距离地球逾3亿千米的神秘火星，在火星上首次留下中国人的印迹，这是我国航天事业发展的又一具有里程碑意义的进展．将数据3亿用科学记数法表示为(   ) A．3×10<sup>5</sup> B．3×10<sup>6</sup> C．3×10<sup>7</sup> D．3×10<sup>8</sup>,用科学记数法表示数及递用还原数,应用,题型
619f7ba628dac08ee2e827d2,在平面直角坐标系xOy中，点M（﹣4，2）关于x轴对称的点的坐标是(   ) A．（﹣4，2） B．（4，2） C．（﹣4，﹣2） D．（4，﹣2）,图形的对称与点的坐标变化,分析,题型
619f7ba628dac08ee2e827d2,在平面直角坐标系xOy中，点M（﹣4，2）关于x轴对称的点的坐标是(   ) A．（﹣4，2） B．（4，2） C．（﹣4，﹣2） D．（4，﹣2）,用坐标表示对称的变化规律,理解,知识点
619f7bc528dac08ee2e827d3,下列计算正确的是(   )A．3mn﹣2mn＝1B．（m<sup>2</sup>n<sup>3</sup>）<sup>2</sup>＝m<sup>4</sup>n<sup>6</sup>C．（﹣m）<sup>3</sup>•m＝m<sup>4</sup>D．（m+n）<sup>2</sup>＝m<sup>2</sup>+n<sup>2</sup>,完全平方公式的定义,记忆,知识点
619f7bc528dac08ee2e827d3,下列计算正确的是(   )A．3mn﹣2mn＝1B．（m<sup>2</sup>n<sup>3</sup>）<sup>2</sup>＝m<sup>4</sup>n<sup>6</sup>C．（﹣m）<sup>3</sup>•m＝m<sup>4</sup>D．（m+n）<sup>2</sup>＝m<sup>2</sup>+n<sup>2</sup>,合并同类项定义与法则,理解,知识点
619f7bc528dac08ee2e827d3,下列计算正确的是(   )A．3mn﹣2mn＝1B．（m<sup>2</sup>n<sup>3</sup>）<sup>2</sup>＝m<sup>4</sup>n<sup>6</sup>C．（﹣m）<sup>3</sup>•m＝m<sup>4</sup>D．（m+n）<sup>2</sup>＝m<sup>2</sup>+n<sup>2</sup>,幂的乘方运算法则,理解,知识点
619f7bc528dac08ee2e827d3,下列计算正确的是(   )A．3mn﹣2mn＝1B．（m<sup>2</sup>n<sup>3</sup>）<sup>2</sup>＝m<sup>4</sup>n<sup>6</sup>C．（﹣m）<sup>3</sup>•m＝m<sup>4</sup>D．（m+n）<sup>2</sup>＝m<sup>2</sup>+n<sup>2</sup>,积的乘方运算法则,理解,知识点
619f7c0b28dac08ee2e827d5,菲尔兹奖是数学领域的一项国际大奖，常被视为数学界的诺贝尔奖，每四年颁发一次，最近一届获奖者获奖时的年龄（单位：岁）分别为：30，40，34，36，则这组数据的中位数是(   ) A．34 B．35 C．36 D．40,中位数,记忆,知识点
619f7c0b28dac08ee2e827d5,菲尔兹奖是数学领域的一项国际大奖，常被视为数学界的诺贝尔奖，每四年颁发一次，最近一届获奖者获奖时的年龄（单位：岁）分别为：30，40，34，36，则这组数据的中位数是(   ) A．34 B．35 C．36 D．40,中位数的计算,应用,题型
619f7c5328dac08ee2e827d6,分式方程 $\frac{2-x}{x-3}$ + $\frac1{3-x}$ ＝1的解为(   ) A．x＝2 B．x＝﹣2 C．x＝1 D．x＝﹣1,解分式方程,应用,题型
619f7cea28dac08ee2e827d7,《九章算术》卷八方程第十题原文为：“今有甲、乙二人持钱不知其数．甲得乙半而钱五十，乙得甲太半而亦钱五十．问：甲、乙持钱各几何？”题目大意是：甲、乙两人各带了若干钱．如果甲得到乙所有钱的一半，那么甲共有钱50；如果乙得到甲所有钱的 $\frac23$ ，那么乙也共有钱50．问：甲、乙两人各带了多少钱？设甲、乙两人持钱的数量分别为x，y，则可列方程组为(   ) A． $\left\{\begin{array}{l}x+\frac12y=50\y+\frac23x=50\end{array}\right.$  B． $\left\{\begin{array}{l}x-\frac12y=50\y-\frac23x=50\end{array}\right.$  C． $\left\{\begin{array}{l}2x+y=50\x+\frac23y=50\end{array}\right.$  D． $\left\{\begin{array}{l}2x-y=50\x-\frac23y=50\end{array}\right.$,列二元一次方程组解决和差倍分问题,理解,题型
619f7d5828dac08ee2e827d9,因式分解：x<sup>2</sup>﹣4＝　         　．,用公式法分解因式,应用,题型
